Date,Location,Cause,Severity,Point of accident,Source
07/09/2020,Πεντέλης και Β. Ηπείρου,Not disclosed,Only car damages,60,https://vrilissianews.gr/vrilissia/l-pentelis-sygkroysi-fortigoy-me-ich/
09/09/2020,Πεντέλης και Κύπρου,Not disclosed,Only car damages,62,https://vrilissianews.gr/vrilissia/sygkroysi-ochimaton-sti-l-pentelis-mpo/
20/09/2020,Πεντέλης και Αναλήψεως,Not disclosed,Only car damages,26,https://vrilissianews.gr/vrilissia/sygkroysi-ich-stin-l-pentelis/
21/09/2020,Κισσάβου και Μητροπούλου,Not disclosed,Only car damages,8,https://vrilissianews.gr/vrilissia/vrilissia-sygkroysi-aytokiniton-kis/
22/09/2020,Ταυγέτου και Αλφειού,Not disclosed,Only car damages,63,https://vrilissianews.gr/vrilissia/vrilissia-sygkroysi-taygetoy-kai-a/
23/09/2020,Θερμοπυλών και Μπακογιάννη,STOP sign violation,Only car damages,9,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-thermopylon/
24/09/2020,Πίνδου και Δωδεκανήσου,STOP sign violation,Cars + Major injuries,64,https://vrilissianews.gr/vrilissia/pindoy-kai-dodekanisoy-sovaro-trochai/
05/10/2020,Πεντέλης και Αναπαύσεως,Not disclosed,Cars + Major injuries,35,https://vrilissianews.gr/vrilissia/trochaio-me-traymatia-sti-symvoli-l-pen/
21/10/2020,Κισσάβου και Μητροπούλου,STOP sign violation,Only car damages,8,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-sti-symvoli-kissav/
21/10/2020,Διός και Χελμού,Not disclosed,Only car damages,65,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-dios-kai-che/
04/11/2020,Θερμοπυλών και Μπακογιάννη,STOP sign violation,Only car damages,9,https://vrilissianews.gr/vrilissia/vrilissia-sfodri-sygkroysi-ich-stin-mp/
16/11/2020,Πεντέλης,Careless driving,Cars + Minor injuries,45,https://vrilissianews.gr/vrilissia/vrilissia-treli-poreia-ich-stin-l-pente/
15/12/2020,Υμηττού και Εθνικής Αντιστάσεως,STOP sign violation,Only car damages,66,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-ymittoy-ka/
29/01/2021,28ης Οκτωβρίου και Θερμοπουλών,STOP sign violation,Only car damages,52,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-28is-oktovri/
13/02/2021,Πεντέλης (Φανάρια Ολύμπου),Not disclosed,Only car damages,67,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-stin-l-pentelis-me/
24/02/2021,Πεντέλης και Κισσάβου,Careless driving,Only car damages,6,https://vrilissianews.gr/vrilissia/l-pentelis-ich-exetrapi-tis-poreias-toy/
26/02/2021,Αναπαύσεως και Μητροπούλου,Not disclosed,Only car damages,68,https://vrilissianews.gr/vrilissia/vrilissia-ich-sti-nisida-sti-symvoli-an/
28/02/2021,Μπακογιάννη και Αγίου Αντωνίου,STOP sign violation,Only car damages,24,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-mpakogian-2/
26/03/2021,Θερμοπυλών και Κύπρου,STOP sign violation,Only car damages,16,https://vrilissianews.gr/uncategorized/vrilissia-neo-trochaio-atychima-se-dias/
30/03/2021,25ης Μαρτίου,Careless driving,Only car damages,69,https://vrilissianews.gr/vrilissia/vrilissia-fortigo-prosekroyse-se-kol/
05/04/2021,Μπακογιάννη και Σαλαμίνος,Not disclosed,Only car damages,70,https://vrilissianews.gr/vrilissia/vrilissia-neo-trochaio-stin-diastayro/
12/05/2021,Σαλαμίνος και Αττικής,Not disclosed,Only car damages,71,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-stin-diast/
15/05/2021,Θερμοπυλών και Μπακογιάννη,STOP sign violation,Only car damages,9,https://vrilissianews.gr/vrilissia/brilissia-sygkroysi-ich-thermopylon-kai/
